fases	varH
5.336673346693387	52022145323101.06
5.338677354709419	48298038585122.81
5.340681362725451	46284358680211.88
5.342685370741483	45013342055563.62
5.344689378757515	44133000011044.56
5.346693386773547	43484337993673.31
5.348697394789579	42985276115628.81
5.350701402805611	42588205815778.81
5.352705410821644	42264881725507.12
5.354709418837675	41996213372406.00
5.356713426853707	41769195243780.19
5.358717434869740	41575178311659.31
5.360721442885771	41406944453774.19
5.362725450901803	41260028795551.25
5.364729458917836	41130620714632.69
5.366733466933868	41015754927392.69
5.368737474949900	40913624098512.06
5.370741482965932	40821283105525.00
5.372745490981964	40738276458990.50
5.374749498997996	40663353502488.44
5.376753507014028	40594939877781.62
5.378757515030060	40532169822533.94
5.380761523046092	40474851552288.12
5.382765531062124	40422358902811.31
5.384769539078157	40373632824183.81
5.386773547094188	40328746735506.00
5.388777555110220	40287305567723.88
5.390781563126253	40248439908692.38
5.392785571142285	40212913982907.62
5.394789579158316	40178861947250.38
5.396793587174349	40147655733822.00
5.398797595190381	40118024401520.12
5.400801603206412	40090854481481.19
5.402805611222445	40064916291590.38
5.404809619238477	40040599901090.25
5.406813627254509	40017239108752.50
5.408817635270541	39995788782059.75
5.410821643286573	39975078943018.12
5.412825651302605	39955544562782.44
5.414829659318637	39937101084322.25
5.416833667334670	39919674971425.56
5.418837675350701	39903193589619.62
5.420841683366733	39887589452049.81
5.422845691382766	39872271569394.31
5.424849699398798	39858262109294.56
5.426853707414829	39844430260371.12
5.428857715430862	39831270029919.25
5.430861723446894	39819289251525.25
5.432865731462925	39807360784588.62
5.434869739478958	39795991730650.19
5.436873747494990	39785147463460.38
5.438877755511022	39774800215711.62
5.440881763527054	39764379460628.44
5.442885771543086	39754948537358.25
5.444889779559118	39745933580658.75
5.446893787575150	39736768799482.88
5.448897795591182	39728530310361.88
5.450901803607215	39720097773834.56
5.452905811623246	39712004471388.00
5.454909819639279	39704782748508.75
5.456913827655311	39697314111464.19
5.458917835671342	39690138251084.19
5.460921843687375	39683239961841.56
5.462925851703407	39677154686703.38
5.464929859719438	39670771633220.06
5.466933867735471	39664627212875.31
5.468937875751503	39658713106512.06
5.470941883767535	39652465805029.94
5.472945891783567	39646978978198.25
5.474949899799599	39641691635669.75
5.476953907815632	39636592949203.94
5.478957915831663	39631684346820.19
5.480961923847695	39626396327131.06
5.482965931863728	39621827044944.25
5.484969939879759	39617420579889.00
5.486973947895792	39612618048488.25
5.488977955911824	39608513518777.75
5.490981963927855	39604001570131.44
5.492985971943888	39600181224243.88
5.494989979959920	39595934520054.25
5.496993987975952	39592375161593.38
5.498997995991984	39588380102033.88
5.501002004008016	39585057077724.56
5.503006012024048	39581295599790.50
